v1,v2,,,
Interested," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too.",,,
Interested,Moji just informed me that you saved our lives. Thanks.,,,
Not Interested,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
More information,Whos this am in class:-),,,
Not Interested,Hey r Ì_ still online? I've finished the formatting...,,,
Interested,Great! So what attracts you to the brothas?,,,
Not Interested,Promotion Number: 8714714 - UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,,,
Interested,Stupid.its not possible,,,
Not Interested,I cant pick the phone right now. Pls send a message,,,
Interested,LOL what happens in Vegas stays in vegas,,,
Interested,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!",,,
Not Interested,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...,,,
More information,Dad says hurry the hell up,,,
Not Interested,Wake me up at  &lt;#&gt;  am morning:),,,
Interested,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",,,
Not Interested,Great! I shoot big loads so get ready!,,,
Interested,I'll meet you in the lobby,,,
Not Interested,You still coming tonight?,,,
Interested,What happen dear tell me,,,
Interested,"Sir, i am waiting for your call, once free please call me.",,,
Not Interested,No i am not having not any movies in my laptop,,,
More information,I was about to do it when i texted. I finished a long time ago and showered and er'ything!,,,
Not Interested,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx,,,
Interested,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",,,
Not Interested,I am in tirupur.  call you da.,,,
Interested,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,,,
Not Interested,S:)but he had some luck.2 catches put down:),,,
Interested,How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...,,,
Interested,Oh...i asked for fun. Haha...take care. Ì_,,,
Not Interested,Shall i get my pouch?,,,
More information,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,,,
Not Interested,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",,,
Interested,Kent vale lor... ÌÏ wait 4 me there ar?,,,
Not Interested,Ok. Very good. Its all about making that money.,,,
Interested,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-),,,
Not Interested,Aight do you still want to get money,,,
Interested,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
Interested,Ok.ok ok..then..whats ur todays plan,,,
Not Interested,ARE YOU IN TOWN? THIS IS V. IMPORTANT,,,
More information,"Sorry pa, i dont knw who ru pa?",,,
Not Interested,Wat u doing there?,,,
Interested,If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.,,,
Not Interested,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.",,,
Interested,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",,,
Not Interested,Networking technical support associate.,,,
Interested,I'm gonna rip out my uterus.,,,
Interested,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,,,
Not Interested,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",,,
More information,"Yeah why not, is the gang all ready",,,
Not Interested,Blank is Blank. But wat is blank? Lol,,,
Interested,I'm in a movie... Collect car oredi...,,,
Not Interested,We left already we at orchard now.,,,
Interested,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",,,
Not Interested,Nothing spl..wat abt u and whr ru?,,,
Interested,No chikku nt yet.. Ya i'm free,,,
Interested,"Aldrine, rakhesh ex RTM here.pls call.urgent.",,,
Not Interested,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,,,
More information,I'm at home. Please call,,,
Not Interested,"I guess you could be as good an excuse as any, lol.",,,
Interested,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",,,
Not Interested,Gud mrng dear hav a nice day,,,
Interested,Old Orchard near univ. How about you?,,,
Not Interested,"4 tacos + 1 rajas burrito, right?",,,
Interested,"It‰Û÷s å£6 to get in, is that ok?",,,
Interested,Hows the street where the end of library walk is?,,,
Not Interested,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",,,
More information,We stopped to get ice cream and will go back after,,,
Not Interested,Did you stitch his trouser,,,
Interested,No da. . Vijay going to talk in jaya tv,,,
Not Interested,2/2 146tf150p,,,
Interested,Hey i'm bored... So i'm thinking of u... So wat r u doing?,,,
Not Interested,"Nah, Wednesday. When should I bring the mini cheetos bag over?",,,
Interested,Nobody names their penis a girls name this story doesn't add up at all,,,
Interested,"Aight, let me know when you're gonna be around usf",,,
Not Interested,I'm not. She lip synced with shangela.,,,
More information,ÌÏ neva tell me how i noe... I'm not at home in da aft wat... ,,,
Not Interested,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
Interested,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,,,
Not Interested,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",,,
Interested,"Haha... Sounds crazy, dunno can tahan anot...",,,
Not Interested,Why are u up so early?,,,
Interested,Ya that one is slow as poo,,,
Interested,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
Not Interested,"\Im on gloucesterroad what are uup to later?\""""",,,
More information,Yes:)here tv is always available in work place..,,,
Not Interested,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,,,
Interested,Lol no ouch but wish i'd stayed out a bit longer,,,
Not Interested,"GOD ASKED, \What is forgiveness?\"" A little child gave lovely reply"," \""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......""",,
Interested,We'll join the  &lt;#&gt;  bus,,,
Not Interested,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,,,
Interested,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
Interested,K.i will send in  &lt;#&gt;  min:),,,
Not Interested,Would me smoking you out help us work through this difficult time,,,
More information,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",,,
Not Interested,Yes.mum lookin strong:),,,
Interested,"Sir Goodmorning, Once free call me.",,,
Not Interested,Where are you call me.,,,
Interested,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,,,
Not Interested,Love it! The girls at the office may wonder why you are smiling but sore...,,,
Interested,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",,,
Interested,Does uncle timi help in clearing cars,,,
Not Interested,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,,,
More information,Ok... But bag again..,,,
Not Interested,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
Interested,Ok lor. Msg me b4 u call.,,,
Not Interested,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",,,
Interested,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night""",,,
Not Interested,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",,,
Interested,Then ur physics get a-?,,,
Interested,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.",,,
Not Interested,How r Ì_ going to send it to me?,,,
More information,Can you do online transaction?,,,
Not Interested,Dear got train and seat mine lower seat,,,
Interested,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?,,,
Not Interested,Wat r u doing?,,,
Interested,WHORE YOU ARE UNBELIEVABLE.,,,
Not Interested,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
Interested,Are you sure you don't mean \get here," we made you hold all the weed\""""",,
Interested,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",,,
Not Interested,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",,,
More information,Love it! I want to flood that pretty pussy with cum...,,,
Not Interested,Hey are you angry with me. Reply me dr.,,,
Interested,Short But Cute: \Be a good person," but dont try to prove it..\"" .Gud noon....""",,
